"Category ID";Aktywny;Nazwa;Kategoria-rodzic;Głowna;Zdjęcie
10;1;Akcesoria;"Wszystkie produkty";0;https://github.com/EchoOfEden/obrazki/raw/main/products/1/https://media.mi-home.pl/catalog/product/c/a/cavp000620-1-base-640px.png
11;1;Kabel USB;Akcesoria;0;https://github.com/EchoOfEden/obrazki/raw/main/products/1/https://media.mi-home.pl/catalog/product/c/a/cavp000620-1-base-640px.png
12;1;Powerbank;Akcesoria;0;https://github.com/EchoOfEden/obrazki/raw/main/products/8/https://media.mi-home.pl/catalog/product/b/a/baseus_bipow_digital_display_power_bank_20w-20000mah-2-640px.png
13;1;Folia ochronna;Akcesoria;0;https://github.com/EchoOfEden/obrazki/raw/main/products/20/https://media.mi-home.pl/catalog/product/3/m/3mk_flexibleglass_lite-800px_1_.png
14;1;Myszka;Akcesoria;0;https://github.com/EchoOfEden/obrazki/raw/main/products/21/https://media.mi-home.pl/catalog/product/x/i/xiaomi_wireless_mouse_lite-1-base-800px.png
15;1;Lifestyle;"Wszystkie produkty";0;https://github.com/EchoOfEden/obrazki/raw/main/products/22/https://media.mi-home.pl/catalog/product/cache/1bb0df90ba2783ebead7b42fc9d7db03/x/i/xiaomi_smart_band_7_neon_strap-green-thumbnail-800px.jpg
16;1;Wymienna opaska;Lifestyle;0;https://github.com/EchoOfEden/obrazki/raw/main/products/22/https://media.mi-home.pl/catalog/product/cache/1bb0df90ba2783ebead7b42fc9d7db03/x/i/xiaomi_smart_band_7_neon_strap-green-thumbnail-800px.jpg
17;1;Zestaw klawiatura i mysz;Akcesoria;0;https://github.com/EchoOfEden/obrazki/raw/main/products/24/https://media.mi-home.pl/catalog/product/x/i/xiaomi_wireless_keyboard_and_mouse_combo-1-base-1200px.png
18;1;Laptopy i Tablety;"Wszystkie produkty";0;https://github.com/EchoOfEden/obrazki/raw/main/products/26/https://media.mi-home.pl/catalog/product/cache/1bb0df90ba2783ebead7b42fc9d7db03/r/e/redmi_pad-black-1-base-shadow-1600px_1.png
19;1;Ładowarka;Akcesoria;0;https://github.com/EchoOfEden/obrazki/raw/main/products/27/https://media.mi-home.pl/catalog/product/x/i/xiaomi_charger_combo_type-a-33w-1-1600px.png
20;1;Smartfony i Telefony Xiaomi;"Wszystkie produkty";0;https://github.com/EchoOfEden/obrazki/raw/main/products/28/https://media.mi-home.pl/catalog/product/cache/1bb0df90ba2783ebead7b42fc9d7db03/c/3/c3s-black-1-base-shadow-1600px_1.png
21;1;Inteligentna opaska;Lifestyle;0;https://github.com/EchoOfEden/obrazki/raw/main/products/29/https://media.mi-home.pl/catalog/product/cache/1bb0df90ba2783ebead7b42fc9d7db03/x/i/xiaomi_band_7_pro-white-1-base-1600px.png
22;1;Inteligentne urządzenia;"Wszystkie produkty";0;https://github.com/EchoOfEden/obrazki/raw/main/products/32/https://media.mi-home.pl/catalog/product/x/i/xiaomi_truclean_w10_ultra_wet_dry_vacuum-1-base-1600px.png
23;1;Odkurzacz;Inteligentne urządzenia;0;https://github.com/EchoOfEden/obrazki/raw/main/products/32/https://media.mi-home.pl/catalog/product/x/i/xiaomi_truclean_w10_ultra_wet_dry_vacuum-1-base-1600px.png
24;1;Wideo;"Wszystkie produkty";0;https://github.com/EchoOfEden/obrazki/raw/main/products/33/https://media.mi-home.pl/catalog/product/i/m/imilab_webcam_1080p-1-base-800px.png
25;1;Kamera internetowa;Wideo;0;https://github.com/EchoOfEden/obrazki/raw/main/products/33/https://media.mi-home.pl/catalog/product/i/m/imilab_webcam_1080p-1-base-800px.png
26;1;Golarka;Inteligentne urządzenia;0;https://github.com/EchoOfEden/obrazki/raw/main/products/34/https://media.mi-home.pl/catalog/product/e/n/enchen_boost_hair_clipper_black-1-base-800px.png
