"Product ID";Obraz;Nazwa;Indeks;Kategoria;"Cena (brutto)";Ilość;Widoczność;Opis;"Opis meta";Tagi;Konfigurowalny;"W sprzedaży";"kod EAN";Cechy
1;https://github.com/EchoOfEden/obrazki/raw/main/products/1/cavp000620-1-base-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/1/cavp000620_720-2-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/1/cavp000620_720-3-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/1/cavp000620_720-4-640px_1.png;Kątowy kabel USB-C - USB-C Baseus MVP 2 100W 1m Czarno-Czerwony;BAS-AK-000041;Kabel USB;39.00;99;both;Kabel USB wykonany z wysokich jakości materiałów, które skutecznie chronią przed przetarciami i złamaniami. Kątowa wtyczka zwiększa komfort oraz długość użytkowania. Szybkie ładowanie o mocy 100W.;Kabel USB wykonany z wysokich jakości materiałów, które skutecznie chronią przed przetarciami i złamaniami. Kątowa wtyczka zwiększa komfort oraz długość użytkowania. Szybkie ładowanie o mocy 100W.;Kątowy kabel USB-A - USB-C Baseus MVP 2 100W 1m Czarno-Czerwony,kabel kątowy,kątowy kabel USB,szybkie ładowanie,kabel do szybkiego ładowania,kabel baseus,baseus,kabel 100w,kabel,100w;0;1;6932172612450;
2;https://github.com/EchoOfEden/obrazki/raw/main/products/2/catklf-g91-1-base-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/2/catklf-g91-2-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/2/catklf-g91-3-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/2/catklf-g91-4-640px.png;Kabel USB-C Baseus Cafule PD2.0 60W 1m Czarny;BAS-AK-000036;Kabel USB;22.00;99;both;Kabel USB-C do ładowania urządzeń takich jak laptopy, telefony czy tablety. Wykonany z wysokiej jakości materiałów, dzięki czemu długo wytrzyma intensywne użytkowanie.;Kabel USB-C do ładowania urządzeń takich jak laptopy, telefony czy tablety. Wykonany z wysokiej jakości materiałów, dzięki czemu długo wytrzyma intensywne użytkowanie.;Kabel USB-C Baseus Cafule PD2.0 60W 1m Czarny,kabel usb,kabel usb c,kabel do ładowania,szybkie ładowanie,kabel baseus,baseus kabel do ładowania,kabel do szybkiego ładowania,baseus,cafule,usb c,60w;0;1;6953156285217;
3;https://github.com/EchoOfEden/obrazki/raw/main/products/3/tzcatzj-02-thumbnail-640px.jpg,https://github.com/EchoOfEden/obrazki/raw/main/products/3/tzcatzj-02-1-base-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/3/tzcatzj-02-2-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/3/tzcatzj-02-3-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/3/tzcatzj-02-4-640px.png;Kabel USB-A - USB-C Baseus Simple Wisdom 5A 40W Xiaomi FC QC 3.0 Biały (2-pack);BAS-AK-000044;Kabel USB;26.00;99;both;Zestaw dwóch przewodów USB-A - USB-C o długości 1.5m przeznaczonych do ładowania i synchronizacji urządzeń Xiaomi, Huawei oraz Honor. Przewody zapewniają stabilne napięcie i pomagają przedłużyć żywotność baterii.;Zestaw dwóch przewodów USB-A - USB-C o długości 1.5m przeznaczonych do ładowania i synchronizacji urządzeń Xiaomi, Huawei oraz Honor. Przewody zapewniają stabilne napięcie i pomagają przedłużyć żywotność baterii.;Kabel USB-A - USB-C Baseus Simple Wisdom 5A 40W Xiaomi FC QC 3.0 Biały (2-pack),USB-A - USB-C cable,xiaomi charging cable, baseus usb cable, baseus simple wisdom, xiaomi charging cable from baseus;0;1;6953156230309;
4;https://github.com/EchoOfEden/obrazki/raw/main/products/4/tzcalzj-02-1-base-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/4/tzcalzj-02-2-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/4/tzcalzj-02-3-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/4/tzcalzj-02-4-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/4/tzcalzj-02-5-640px.png;Kabel USB-A Lightning Baseus Simple Wisdom 2.4A 1.5m Biały (2-pack);BAS-AK-000043;Kabel USB;24.00;99;both;Zestaw dwóch kabli USB - Lightning o długości 1.5m przeznaczonych do ładowania i synchronizacji urządzeń Apple. Przewody zapewniają stabilny prąd i pomagają przedłużyć żywotność baterii.;Zestaw dwóch kabli USB - Lightning o długości 1.5m przeznaczonych do ładowania i synchronizacji urządzeń Apple. Przewody zapewniają stabilny prąd i pomagają przedłużyć żywotność baterii.;USB-A Lightning Cable Baseus Simple Wisdom 2.4A 1.5m White (2-pack), Baseus Simple Wisdom, Baseus Simple Wisdom 2pack, Baseus Simple Wisdom lightning, Baseus Simple Wisdom 2.4a, Baseus Simple Wisdom 1.5m, kabel do iphone, kabel do ipad, kabel lightning;0;1;6953156230316;
5;https://github.com/EchoOfEden/obrazki/raw/main/products/5/baseus_tungsten_gold-1m-1-base-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/5/baseus_tungsten_gold-1m-2-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/5/baseus_tungsten_gold-3-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/5/baseus_tungsten_gold-4-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/5/baseus_tungsten_gold-5-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/5/baseus_tungsten_gold-6-640px.png;Kabel USB-C - USB-C Baseus Tungsten Gold Quick Charge 4.0 1m Czarny;BAS-AK-000037;Kabel USB;34.00;99;both;Metrowy przewód USB-C pozwala na ładowanie o mocy do 100W zapewniając przy tym prędkość transmisji do 480Mbps. Zastosowanie specjalnego oplotu zapobiega przecieraniu i łamaniu się kabla.;Metrowy przewód USB-C pozwala na ładowanie o mocy do 100W zapewniając przy tym prędkość transmisji do 480Mbps. Zastosowanie specjalnego oplotu zapobiega przecieraniu i łamaniu się kabla.;Kabel USB-C - USB-C Baseus Tungsten Gold Quick Charge 4.0 1m Czarny, Kabel USB-C, Kabel USB-C baseus, baseus Tungsten Gold, kabel usb typu c do usb typu c, kabel usb c 1m, kabel usb 100w, kabel usb 5A, Cable USB-C - USB-C Baseus Tungsten Gold Quick Charge 4.0 1m Czarny, cable USB-C, cable USB-C baseus, baseus Tungsten Gold, cable usb typu c do usb typu c, cable usb c 1m, cable usb 100w, cable usb 5A;0;1;6953156232051;
6;https://github.com/EchoOfEden/obrazki/raw/main/products/6/baseus_tungsten_gold-2m-1-base-640px.png.png,https://github.com/EchoOfEden/obrazki/raw/main/products/6/baseus_tungsten_gold-2m-2-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/6/baseus_tungsten_gold-3-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/6/baseus_tungsten_gold-4-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/6/baseus_tungsten_gold-5-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/6/baseus_tungsten_gold-6-640px_1.png;Kabel USB-C - USB-C Baseus Tungsten Gold Quick Charge 4.0 2m Czarny;BAS-AK-000038;Kabel USB;39.00;99;both;Kabel Baseus USB-C pozwala na ładowanie o mocy do 100W zapewniając przy tym prędkość transmisji do 480Mbps. Zastosowany specjalny oplot zapobiega przecieraniu i łamaniu się kabla.;Kabel Baseus USB-C pozwala na ładowanie o mocy do 100W zapewniając przy tym prędkość transmisji do 480Mbps. Zastosowany specjalny oplot zapobiega przecieraniu i łamaniu się kabla.;Kabel USB-C - USB-C Baseus Tungsten Gold Quick Charge 4.0 2m Czarny, Kabel USB-C, Kabel USB-C baseus, baseus Tungsten Gold, kabel usb typu c do usb typu c, kabel usb c 2m, kabel usb 100w, kabel usb 5A, Cable USB-C - USB-C Baseus Tungsten Gold Quick Charge 4.0 2m Czarny, cable USB-C, cable USB-C baseus, baseus Tungsten Gold, cable usb typu c do usb typu c, cable usb c 2m, cable usb 100w, cable usb 5A;0;1;6953156232068;
7;https://github.com/EchoOfEden/obrazki/raw/main/products/7/calklf_1m_red-1-base-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/7/calklf_1m_red-5-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/7/calklf_1m_red-3-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/7/calklf_1m_red-4-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/7/calklf_1m_red-2-640px.pnghttps://github.com/EchoOfEden/obrazki/raw/main/products/8/calklf-a19-1-base-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/8/calklf-a19-2-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/8/calklf-a19-3-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/8/calklf-a19-4-640px_1.png;Kabel USB-A Lightning Baseus Cafule 2.4A 1m Czerwono-czarny;BAS-AK-000026-CONF;Kabel USB;16.00;99;both;Kabel zapewnia eleganckie i wytrzymałe wtyczki odporne na ścieranie i utlenianie. Transmisja danych do 480Mbps, połączenie między kablem, a wtyczką wzmocnione zostało elastycznym TPE.;Kabel zapewnia eleganckie i wytrzymałe wtyczki odporne na ścieranie i utlenianie. Transmisja danych do 480Mbps, połączenie między kablem, a wtyczką wzmocnione zostało elastycznym TPE.;Kabel USB-A Lightning Baseus Cafule, Kabel Lightning, Kabel usb do lightning, Kabel lightning baseus, przewód iphone, Kabel ipad, Kabel lightning iphone, Kabel lightning iphone usb do lightning, Kabel lightning ipad usb do lightning,CALKLF-B09;1;1;6953156274969;
8;https://github.com/EchoOfEden/obrazki/raw/main/products/8/baseus_bipow_digital_display_power_bank_20w-20000mah-2-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/8/baseus_bipow_digital_display_power_bank_20w-20000mah-1-base-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/8/baseus_bipow_digital_display_power_bank_20w-20000mah-3-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/8/baseus_bipow_digital_display_power_bank_20w-20000mah-4-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/8/baseus_bipow_digital_display_power_bank_20w-20000mah-5-640px.png;Baseus 20W Bipow Digital Display Power Bank 20000mAh Czarny;BAS-AK-000051;Powerbank;179.00;99;both;Power bank o dużej pojemności 20000mAh wielokrotnie naładuje twój telefon. Dodatkowo, zrobi to w szybkim tempie, dzięki standardowi ładowania Power Delivery 20W, Quick Charge 3.0.;Power bank o dużej pojemności 20000mAh wielokrotnie naładuje twój telefon. Dodatkowo, zrobi to w szybkim tempie, dzięki standardowi ładowania Power Delivery 20W, Quick Charge 3.0.;Baseus 20W Bipow Digital Display Power Bank 20000mAh Czarny,powerbank,power bank,bank mocy,ładowanie telefonu,pojemny powerbank,20000mah,powerbank baseus,baseus,szybkie ładowanie,powerbank z szybkim ładowaniem,20W;0;1;6953156206533;
9;https://github.com/EchoOfEden/obrazki/raw/main/products/9/baseus_bipow_digital_display_power_bank_20w-10000mah-2-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/9/baseus_bipow_digital_display_power_bank_20w-10000mah-1-base-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/9/baseus_bipow_digital_display_power_bank_20w-10000mah-3-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/9/baseus_bipow_digital_display_power_bank_20w-10000mah-4-640px_1.png,https://github.com/EchoOfEden/obrazki/raw/main/products/9/baseus_bipow_digital_display_power_bank_20w-10000mah-5-640px_1.png;Baseus 20W Bipow Digital Display Power Bank 10000mAh Czarny;BAS-AK-000050;Powerbank;129.00;99;both;Power Bank o pojemności 20000 mAh i szybkim ładowaniu 20W. Urządzenie niezbędne podczas podróży czy wyprawy pod namiot. Solidna obudowa, kompaktowe rozmiary oraz wyświetlacz LCD dla łatwiejszego kontrolowania poziomu jego naładowania.;Power Bank o pojemności 20000 mAh i szybkim ładowaniu 20W. Urządzenie niezbędne podczas podróży czy wyprawy pod namiot. Solidna obudowa, kompaktowe rozmiary oraz wyświetlacz LCD dla łatwiejszego kontrolowania poziomu jego naładowania.;Baseus 20W Bipow Digital Display Power Bank 10000mAh Czarny,powerbank,power bank,bank mocy,ładowanie telefonu,pojemny powerbank,10000mah,powerbank baseus,baseus,szybkie ładowanie,powerbank z szybkim ładowaniem,20W;0;1;6953156206519;
10;https://github.com/EchoOfEden/obrazki/raw/main/products/10/baseus_bipow_digital_display_power_bank_15w-20000mah-1-base-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/10/baseus_bipow_digital_display_power_bank_15w-20000mah-4-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/10/baseus_bipow_digital_display_power_bank_15w-20000mah-3-640px_1_.png,https://github.com/EchoOfEden/obrazki/raw/main/products/10/baseus_bipow_digital_display_power_bank_15w-20000mah-5-640px.png,https://github.com/EchoOfEden/obrazki/raw/main/products/10/baseus_bipow_digital_display_power_bank_15w-20000mah-6-640px.png;Baseus 15W Bipow Digital Display Power Bank 20000mAh Czarny;BAS-AK-000049;Powerbank;169.00;99;both;Wielokrotne ładownie telefonu z niezwykle pojemnym Power Bankiem o mocy wyjściowej 15W. Niezbędny w czasie podróży, na biwaku i wszędzie tam, gdzie nie ma prądu. Kompaktowe rozmiary sprawiają, że zajmuje niewiele miejsca, nawet w kieszeni w spodniach.;Wielokrotne ładownie telefonu z niezwykle pojemnym Power Bankiem o mocy wyjściowej 15W. Niezbędny w czasie podróży, na biwaku i wszędzie tam, gdzie nie ma prądu. Kompaktowe rozmiary sprawiają, że zajmuje niewiele miejsca, nawet w kieszeni w spodniach.;Baseus 15W Bipow Digital Display Power Bank 20000mAh Czarny,powerbank,power bank,bank mocy,ładowanie telefonu,pojemny powerbank,20000mah,powerbank baseus,baseus,szybkie ładowanie,powerbank z szybkim ładowaniem,15W;0;1;6953156206472;
